,,,,מספר נבדק (המספר שפלג נתן לך),שנת לידה,מגדר,מצב משפחתי,ארץ לידה,ארץ לידת האב,ארץ לידת האם,השכלה (ניתן לסמן גם אם הינך במהלך רכישת ההשכלה),האם הנך בעל/ת הכנסה קבועה או מלגה?,, [אעזור לאדם זר שלא יודע את הדרך להגיע ליעד],כיצד הנך תופס/ת את מצבך הסוציו-אקונומי?, [אפרוט כסף עבור אדם זר], [אתן כסף לצדקה], [אתרום מוצרים/ בגדים לצדקה], [אתנדב בארגון צדקה], [אתרום דם], [אעכב את המעלית עבור אדם זר כדי שיספיק לעלות], [אתן למישהו שזקוק לכך לעקוף אותי בתור], [אעזור לחבר ללימודים שאיני מכיר היטב במטלה שמתקשה בה ], [אוותר על מקומי באוטובוס/רכבת בשביל זר שנאלץ לעמוד],אני רואה עצמי כאדם... [דברן],אני רואה עצמי כאדם... [מאופק],אני רואה עצמי כאדם... [אנרגטי],אני רואה עצמי כאדם... [מפגין התלהבות],אני רואה עצמי כאדם... [נוטה להיות שקט],אני רואה עצמי כאדם... [בעל אישיות אסרטיבית/החלטית],אני רואה עצמי כאדם... [עצור ומבוייש],אני רואה עצמי כאדם... [חברותי ופתוח],השתייכות דתית
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2019 13:09:28,,,,001,1996,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני-גבוה,3,4,4,5 (בסבירות גבוהה),2,3,4,5 (בסבירות גבוהה),4,3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),יהודית
4/4/2019 13:11:12,,,,2,1989,זכר,נשוי/אה,ישראל,ישראל,ישראל,אקדמאית- תואר שני,כן,,5 (בסבירות גבוהה),נמוך-בינוני,4,5 (בסבירות גבוהה),4,3,3,5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),4,4 (די מסכים),2 (די מתנגד),4 (די מסכים),4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),יהודית
4/6/2019 18:54:15,,,,004,1987,נקבה,רווק/ה,ישראל,ישראל,ארצות הברית,אקדמאית- תואר שני,לא,,3,נמוך-בינוני,2,1 (כלל לא סביר),3,2,2,3,3,3,2,3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),4 (די מסכים),יהודית
4/6/2019 19:05:29,,,,3,1994,זכר,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני,4,3,4,4,1 (כלל לא סביר),4,4,3,2,4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),יהודית
4/8/2019 11:53:10,,,,005,1987,נקבה,רווק/ה,ישראל,סוריה,ישראל,אקדמאית- תואר שני,כן,,5 (בסבירות גבוהה),בינוני,4,4,5 (בסבירות גבוהה),2,1 (כלל לא סביר),2,2,4,3,4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),1 (לא מסכים כלל),4 (די מסכים),יהודית
4/8/2019 15:50:27,,,,006,1991,נקבה,רווק/ה,ישראל,גרמניה,ישראל,תיכונית (בגרות מלאה),לא,,5 (בסבירות גבוהה),בינוני,1 (כלל לא סביר),5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,2,4,5 (בסבירות גבוהה),3,1 (כלל לא סביר),4 (די מסכים),2 (די מתנגד),4 (די מסכים),5 (מסכים מאוד),1 (לא מסכים כלל),3 (לא מסכים ולא מתנגד),2 (די מתנגד),5 (מסכים מאוד),יהודית
4/8/2019 16:06:14,,,,7,1998,זכר,רווק/ה,ישראל,ישראל,קנדה,אקדמאית- תואר ראשון,כן,,4,גבוה,3,3,2,2,2,4,3,3,3,2 (די מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),2 (די מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),יהודית
4/8/2019 16:06:42,,,,008,1994,נקבה,רווק/ה,ישראל,ברית המועצות לשעבר,ברית המועצות לשעבר,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני,3,3,5 (בסבירות גבוהה),4,2,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),5 (מסכים מאוד),2 (די מתנגד),4 (די מסכים),2 (די מתנגד),5 (מסכים מאוד),יהודית
4/8/2019 16:10:14,,,,009,1989,זכר,נשוי/אה,ישראל,ישראל,ישראל,תיכונית (בגרות מלאה),כן,,5 (בסבירות גבוהה),בינוני-גבוה,4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),4 (די מסכים),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),5 (מסכים מאוד),2 (די מתנגד),5 (מסכים מאוד),1 (לא מסכים כלל),5 (מסכים מאוד),יהודית
4/10/2019 14:27:34,,,,11,1993,זכר,רווק/ה,ישראל,ישראל,ישראל,עד תיכונית,כן,,5 (בסבירות גבוהה),נמוך-בינוני,4,3,4,3,1 (כלל לא סביר),3,5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),יהודית
4/11/2019 9:25:47,,,,010,1992,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני,2,4,4,3,1 (כלל לא סביר),4,4,4,4,3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),2 (די מתנגד),5 (מסכים מאוד),יהודית
4/11/2019 13:59:15,,,,013,1997,נקבה,רווק/ה,ישראל,איראן,אפגניסטן,אקדמאית- תואר ראשון,כן,,2,נמוך-בינוני,2,2,2,2,3,3,3,2,3,2 (די מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),2 (די מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),יהודית
4/11/2019 14:05:05,,,,012,1994,זכר,רווק/ה,ישראל,ישראל,ארגנטינה,אקדמאית- תואר ראשון,לא,,5 (בסבירות גבוהה),בינוני,4,4,4,3,4,4,4,5 (בסבירות גבוהה),4,1 (לא מסכים כלל),5 (מסכים מאוד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),יהודית
4/29/2019 14:01:30,,,,16,1993,זכר,רווק/ה,ישראל,ארצות הברית,ארצות הברית,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני-גבוה,5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),2,4,4,4,3,3,2 (די מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),יהודית
4/29/2019 14:15:59,,,,017,1999,נקבה,רווק/ה,ברזיל,ברזיל,ברזיל,אקדמאית- תואר ראשון,כן,,3,נמוך-בינוני,2,3,5 (בסבירות גבוהה),2,1 (כלל לא סביר),3,4,4,3,4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),2 (די מתנגד),2 (די מתנגד),2 (די מתנגד),5 (מסכים מאוד),יהודית
4/29/2019 15:10:29,,,,018,1990,זכר,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,3,בינוני,2,3,2,3,2,2,2,2,1 (כלל לא סביר),4 (די מסכים),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),5 (מסכים מאוד),יהודית
4/29/2019 16:14:57,,,,019,1986,זכר,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,לא,,4,בינוני,4,3,5 (בסבירות גבוהה),3,2,3,4,5 (בסבירות גבוהה),4,3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),יהודית
4/29/2019 17:00:44,,,,020,1998,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,לא,,4,בינוני-גבוה,3,4,2,3,3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),יהודית
4/30/2019 13:00:23,,,,023,1998,נקבה,רווק/ה,ישראל,הודו,הודו,אקדמאית- תואר ראשון,כן,,4,בינוני,3,4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),2,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,4 (די מסכים),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),5 (מסכים מאוד),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),2 (די מתנגד),4 (די מסכים),יהודית
4/30/2019 13:19:14,,,,022,1999,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,לא,,4,בינוני,4,4,4,5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),3 (לא מסכים ולא מתנגד),2 (די מתנגד),מוסלמית
4/30/2019 16:50:03,,,,015,1997,נקבה,רווק/ה,ישראל,איראן,אפגניסטן,אקדמאית- תואר ראשון,כן,,3,בינוני,2,3,3,3,3,3,3,2,3,3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),1 (לא מסכים כלל),2 (די מתנגד),יהודית
5/1/2019 7:58:25,,,,021,1997,נקבה,רווק/ה,ברית המועצות לשעבר,ברית המועצות לשעבר,ברית המועצות לשעבר,תיכונית (בגרות מלאה),כן,,5 (בסבירות גבוהה),בינוני,5 (בסבירות גבוהה),2,3,3,2,3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),יהודית
5/1/2019 15:06:31,,,,024,1995,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,לא,,5 (בסבירות גבוהה),גבוה,3,2,5 (בסבירות גבוהה),2,5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,5 (מסכים מאוד),1 (לא מסכים כלל),4 (די מסכים),5 (מסכים מאוד),1 (לא מסכים כלל),5 (מסכים מאוד),1 (לא מסכים כלל),5 (מסכים מאוד),יהודית
5/2/2019 11:17:02,,,,025,1991,נקבה,נשוי/אה,ישראל,מרוקו,מרוקו,אקדמאית- תואר ראשון,כן,,4,בינוני-גבוה,4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,4,4,3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),2 (די מתנגד),4 (די מסכים),יהודית
5/2/2019 12:08:38,,,,026,1994,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני,5 (בסבירות גבוהה),3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),1 (לא מסכים כלל),4 (די מסכים),יהודית
5/2/2019 13:59:53,,,,027,1985,זכר,נשוי/אה,ישראל,ארצות הברית,ארצות הברית,אקדמאית- תואר שלישי,כן,,5 (בסבירות גבוהה),בינוני-גבוה,4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,3,4,4,4,4,2 (די מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),2 (די מתנגד),5 (מסכים מאוד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),יהודית
5/2/2019 15:46:23,,,,028,1999,נקבה,רווק/ה,ישראל,ישראל,ברית המועצות לשעבר,אקדמאית- תואר ראשון,לא,,2,נמוך,1 (כלל לא סביר),2,3,1 (כלל לא סביר),1 (כלל לא סביר),4,4,4,2,3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),5 (מסכים מאוד),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),1 (לא מסכים כלל),3 (לא מסכים ולא מתנגד),יהודית
5/5/2019 17:51:53,,,,029,1999,נקבה,רווק/ה,ישראל,ברית המועצות לשעבר,ברית המועצות לשעבר,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני,3,3,2,3,2,1 (כלל לא סביר),2,2,3,5 (מסכים מאוד),2 (די מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),יהודית
5/6/2019 11:32:51,,,,030,1995,נקבה,נשוי/אה,ישראל,ישראל,ישראל,אקדמאית- תואר שני,כן,,3,בינוני,3,3,3,3,3,3,3,3,3,5 (מסכים מאוד),3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),יהודית
5/6/2019 13:08:44,,,,031,1994,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר שני,כן,,4,בינוני,4,3,5 (בסבירות גבוהה),2,5 (בסבירות גבוהה),4,3,5 (בסבירות גבוהה),3,2 (די מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),2 (די מתנגד),5 (מסכים מאוד),4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),יהודית
5/14/2019 12:23:57,,,,33,1995,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני-גבוה,3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,5 (בסבירות גבוהה),3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (מסכים מאוד),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),5 (מסכים מאוד),2 (די מתנגד),4 (די מסכים),1 (לא מסכים כלל),5 (מסכים מאוד),יהודית
5/14/2019 12:28:02,,,,34,1998,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני-גבוה,4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,4 (די מסכים),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),5 (מסכים מאוד),3 (לא מסכים ולא מתנגד),4 (די מסכים),2 (די מתנגד),5 (מסכים מאוד),יהודית
5/14/2019 13:56:31,,,,035,1992,זכר,רווק/ה,ישראל,אתיופיה,אתיופיה,אקדמאית- תואר ראשון,לא,,4,בינוני-גבוה,4,4,3,2,3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,4,3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),יהודית
5/14/2019 14:27:43,,,,038,1996,נקבה,נשוי/אה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,3,נמוך-בינוני,3,3,3,2,3,3,2,2,2,3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),2 (די מתנגד),4 (די מסכים),יהודית
5/14/2019 21:03:31,,,,039,1991,זכר,נשוי/אה,ישראל,ישראל,טוניס,תיכונית (בגרות מלאה),כן,,5 (בסבירות גבוהה),נמוך-בינוני,5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,1 (כלל לא סביר),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),3 (לא מסכים ולא מתנגד),4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),1 (לא מסכים כלל),5 (מסכים מאוד),יהודית
5/15/2019 11:09:08,,,,040,1995,נקבה,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,לא,,5 (בסבירות גבוהה),נמוך,3,4,4,3,1 (כלל לא סביר),4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (מסכים מאוד),3 (לא מסכים ולא מתנגד),4 (די מסכים),2 (די מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),יהודית
5/15/2019 11:26:42,,,,041,1998,נקבה,רווק/ה,ישראל,ארצות הברית,ארצות הברית,תיכונית (בגרות מלאה),כן,,5 (בסבירות גבוהה),בינוני,4,4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,3,4,4,4 (די מסכים),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),5 (מסכים מאוד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),4 (די מסכים),יהודית
5/20/2019 12:51:15,,,,44,1982,זכר,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,לא,,3,בינוני,2,3,3,2,2,2,3,2,2,3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),2 (די מתנגד),4 (די מסכים),יהודית
5/20/2019 16:27:02,,,,42,1995,נקבה,נשוי/אה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),נמוך-בינוני,5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),2 (די מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),יהודית
5/27/2019 13:26:29,,,,47,1995,זכר,רווק/ה,ישראל,אתיופיה,אתיופיה,אקדמאית- תואר ראשון,כן,,3,נמוך,3,3,2,3,2,3,3,3,3,4 (די מסכים),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),יהודית
5/27/2019 16:20:40,,,,45,1994,זכר,נשוי/אה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,כן,,5 (בסבירות גבוהה),בינוני-גבוה,5 (בסבירות גבוהה),4,3,3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,3,4,4 (די מסכים),5 (מסכים מאוד),4 (די מסכים),4 (די מסכים),3 (לא מסכים ולא מתנגד),5 (מסכים מאוד),1 (לא מסכים כלל),4 (די מסכים),יהודית
5/27/2019 16:41:05,,,,46,1991,זכר,רווק/ה,ישראל,איראן,איראן,אקדמאית- תואר שני,לא,,4,בינוני,4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,4,4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),יהודית
5/27/2019 22:03:04,,,,48,1983,נקבה,רווק/ה,ישראל,הונגריה,עירק,אקדמאית- תואר שני,כן,,3,נמוך,1 (כלל לא סביר),2,1 (כלל לא סביר),1 (כלל לא סביר),2,3,3,2,2,2 (די מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),2 (די מתנגד),2 (די מתנגד),2 (די מתנגד),2 (די מתנגד),2 (די מתנגד),יהודית
5/27/2019 22:23:21,,,,49,1994,נקבה,רווק/ה,ארצות הברית,ארצות הברית,ארצות הברית,אקדמאית- תואר ראשון,כן,,4,בינוני,3,4,5 (בסבירות גבוהה),3,5 (בסבירות גבוהה),5 (בסבירות גבוהה),4,5 (בסבירות גבוהה),4,4 (די מסכים),4 (די מסכים),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),2 (די מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),יהודית
5/29/2019 11:33:15,,,,36,1995,נקבה,רווק/ה,ישראל,אנגליה,ישראל,אקדמאית- תואר ראשון,כן,,3,בינוני,3,3,3,2,2,3,3,3,3,3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),2 (די מתנגד),5 (מסכים מאוד),יהודית
5/29/2019 12:20:24,,,,50,1995,זכר,רווק/ה,ישראל,ברית המועצות לשעבר,ברית המועצות לשעבר,תיכונית (בגרות מלאה),לא,,5 (בסבירות גבוהה),בינוני-גבוה,5 (בסבירות גבוהה),2,2,4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),3,5 (בסבירות גבוהה),5 (מסכים מאוד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),1 (לא מסכים כלל),4 (די מסכים),3 (לא מסכים ולא מתנגד),יהודית
5/30/2019 10:27:12,,,,14,1995,אחר,רווק/ה,ישראל,ישראל,ישראל,אקדמאית- תואר ראשון,לא,,5 (בסבירות גבוהה),בינוני,4,3,4,3,4,5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),5 (בסבירות גבוהה),4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),2 (די מתנגד),4 (די מסכים),יהודית
5/30/2019 12:32:51,,,,032,1989,זכר,רווק/ה,ישראל,רומניה,ישראל,אקדמאית- תואר ראשון,לא,,5 (בסבירות גבוהה),בינוני,3,2,3,2,2,4,3,4,5 (בסבירות גבוהה),3 (לא מסכים ולא מתנגד),4 (די מסכים),3 (לא מסכים ולא מתנגד),4 (די מסכים),4 (די מסכים),3 (לא מסכים ולא מתנגד),3 (לא מסכים ולא מתנגד),4 (די מסכים),יהודית
